"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Sep 28 20:19:58 MSK 2024","Sat Sep 28 20:19:59 MSK 2024","1027","","tests.GroupCreationTests","","tests.GroupCreationTests","canNotCreateGroup","canNotCreateGroup(GroupData) [1] GroupData[id=, name=name', header=, footer=]",""
"passed","Sat Sep 28 20:19:06 MSK 2024","Sat Sep 28 20:19:10 MSK 2024","3772","","tests.ContactModificationTests","","tests.ContactModificationTests","canModifyContact","canModifyContact()",""
"broken","Sat Sep 28 20:18:33 MSK 2024","Sat Sep 28 20:18:33 MSK 2024","13","","tests.ContactInfoTests","","tests.ContactInfoTests","testCompareHomeAndEditPage","testCompareHomeAndEditPage()",""
"broken","Sat Sep 28 20:18:33 MSK 2024","Sat Sep 28 20:18:33 MSK 2024","5","","tests.ContactInfoTests","","tests.ContactInfoTests","testAddressesCompareMaps","testAddressesCompareMaps()",""
"broken","Sat Sep 28 20:19:53 MSK 2024","Sat Sep 28 20:19:55 MSK 2024","1614","","tests.GroupCreationTests","","tests.GroupCreationTests","canCreateGroupsFromXmlFile","canCreateGroupsFromXmlFile(GroupData) [2] GroupData[id=, name=hweoy, header=ddtxq, footer=glxeo]",""
"passed","Sat Sep 28 20:19:03 MSK 2024","Sat Sep 28 20:19:06 MSK 2024","2880","","tests.ContactCreationTests","","tests.ContactCreationTests","canCreateContactWithFirstName","canCreateContactWithFirstName()",""
"broken","Sat Sep 28 20:19:46 MSK 2024","Sat Sep 28 20:19:48 MSK 2024","1897","","tests.GroupCreationTests","","tests.GroupCreationTests","canCreateMultipleGroupCompareList","canCreateMultipleGroupCompareList(GroupData) [8] GroupData[id=, name=group name, header=group header, footer=group footer]",""
"broken","Sat Sep 28 20:20:06 MSK 2024","Sat Sep 28 20:20:08 MSK 2024","1149","","tests.GroupCreationTests","","tests.GroupCreationTests","canCreateGroupSet","canCreateGroupSet(GroupData) [2] GroupData[id=, name=jvhofvyja, header=ojovlpeyfgw, footer=mpzwmbzoyczqlfc]",""
"broken","Sat Sep 28 20:18:33 MSK 2024","Sat Sep 28 20:18:33 MSK 2024","9","","tests.ContactInfoTests","","tests.ContactInfoTests","testPhones","testPhones()",""
"passed","Sat Sep 28 20:19:13 MSK 2024","Sat Sep 28 20:19:14 MSK 2024","517","","tests.ContactRemovalTests","","tests.ContactRemovalTests","canRemoveContactHbm","canRemoveContactHbm()",""
"broken","Sat Sep 28 20:18:21 MSK 2024","Sat Sep 28 20:18:32 MSK 2024","11928","","tests.ContactInfoTests","","tests.ContactInfoTests","testPhonesForAllContacts","testPhonesForAllContacts()",""
"passed","Sat Sep 28 20:18:33 MSK 2024","Sat Sep 28 20:18:36 MSK 2024","3066","","tests.ContactCreationTests","","tests.ContactCreationTests","canCreateContactWithNames","canCreateContactWithNames(ContactData) [1] ContactData[id=, firstname=, lastname=, address=, address2=, home=, mobile=, work=, phone2=, email=, email2=, email3=, photo=]",""
"broken","Sat Sep 28 20:20:11 MSK 2024","Sat Sep 28 20:20:12 MSK 2024","1344","","tests.GroupModificationTests","","tests.GroupModificationTests","canModifyGroupOld","canModifyGroupOld()",""
"broken","Sat Sep 28 20:19:56 MSK 2024","Sat Sep 28 20:19:58 MSK 2024","1734","","tests.GroupCreationTests","","tests.GroupCreationTests","canNotCreateGroupCompareList","canNotCreateGroupCompareList(GroupData) [1] GroupData[id=, name=name', header=, footer=]",""
"broken","Sat Sep 28 20:19:32 MSK 2024","Sat Sep 28 20:19:33 MSK 2024","1501","","tests.GroupCreationTests","","tests.GroupCreationTests","canCreateMultipleGroupWithObject","canCreateMultipleGroupWithObject(GroupData) [9] GroupData[id=, name=, header=, footer=]",""
